eu5	0	[[0, 6609999], [6671000, 7117999], [7178000, 10400999], [10410000, 10575999], [10581000, 13561999], [13566000, 15635999], [15642000, 21899999], [22263000, 23336999], [23362000, 24296999], [24335000, 24363999], [24754000, 25448999], [25493000, 25508999], [25704000, 25946999], [25967000, 28044999], [28202000, 28248999], [28358000, 29095999], [29146000, 29688999], [29731000, 30920999], [30947000, 32813999], [32833000, 34423999], [34462000, 37056999], [37128000, 39299999], [39381000, 39498999], [39580000, 40338999], [40408000, 40656999], [40703000, 49998999]]
eu5	1	[[0, 5792999], [5802000, 6639999], [6787000, 7216999], [7236000, 10575999], [10581000, 12263999], [12274000, 12609999], [12659000, 13573999], [13629000, 19146999], [19151000, 19833999], [19881000, 20588999], [20721000, 21725999], [21777000, 21870999], [22004000, 23239999], [23263000, 23356999], [23394000, 24296999], [24308000, 24372999], [24463000, 24555999], [24619000, 25752999], [25768000, 26300999], [26361000, 28044999], [28202000, 28248999], [28352000, 28892999], [28950000, 29688999], [29731000, 33983999], [34108000, 34423999], [34460000, 37056999], [37080000, 38887999], [39056000, 39513999], [39530000, 40874999], [40894000, 43962999], [44070000, 46138999], [46160000, 47292999], [47327000, 49998999]]
eu6	0	[[0, 3434999], [3443000, 3795999], [3834000, 4793999], [4797000, 7135999], [7227000, 13561999], [13610000, 22122999], [22142000, 22745999], [23123000, 23239999], [23263000, 23356999], [23386000, 24555999], [24637000, 25693999], [25759000, 28044999], [28202000, 28246999], [28280000, 28461999], [28479000, 28486999], [28500000, 29095999], [29172000, 39190999], [39201000, 39320999], [39477000, 39629999], [39646000, 40141999], [40186000, 43792999], [43801000, 47292999], [47327000, 49536999], [49599000, 49998999]]
eu6	1	[[0, 391999], [394000, 3327999], [3443000, 7117999], [7189000, 10401999], [10410000, 10575999], [10581000, 12263999], [12274000, 19146999], [19151000, 20588999], [20721000, 21623999], [21675000, 23260999], [23414000, 24555999], [24619000, 25484999], [25566000, 28034999], [28065000, 28172999], [28202000, 28238999], [28264000, 28277999], [28630000, 28850999], [28963000, 34446999], [34594000, 36490999], [36528000, 38966999], [39039000, 40338999], [40408000, 40588999], [40621000, 40860999], [40922000, 48967999], [48993000, 49998999]]
eu7	0	[[0, 1920999], [2021000, 5009999], [5018000, 5688999], [5747000, 6385999], [6458000, 6589999], [6754000, 7250999], [7264000, 9625999], [9662000, 10171999], [10326000, 10444999], [10472000, 13561999], [13610000, 13700999], [13716000, 14342999], [14402000, 22122999], [22142000, 22369999], [22398000, 22632999], [22717000, 23827999], [23960000, 24568999], [24619000, 24957999], [25078000, 25682999], [25732000, 25752999], [25761000, 25946999], [25967000, 28211999], [28284000, 28447999], [28502000, 28850999], [28861000, 29192999], [29240000, 34290999], [34380000, 34467999], [34478000, 36007999], [36067000, 38744999], [38767000, 40400999], [40663000, 46102999], [46160000, 47595999], [47653000, 49998999]]
eu7	1	[[0, 1920999], [2072000, 4566999], [4595000, 6589999], [6908000, 10528999], [10640000, 10784999], [10797000, 20588999], [20721000, 22700999], [22782000, 22954999], [23960000, 25555999], [25679000, 27693999], [27710000, 28376999], [28688000, 28850999], [28861000, 34727999], [34752000, 39299999], [39477000, 40355999], [40363000, 40564999], [40629000, 40860999], [40966000, 41346999], [41450000, 44176999], [44245000, 46102999], [46160000, 47292999], [47327000, 49998999]]
eu8	0	[[0, 6682999], [6908000, 7154999], [7227000, 10482999], [10779000, 10893999], [10917000, 11872999], [11989000, 14408999], [14411000, 19833999], [19881000, 21725999], [21777000, 21870999], [22004000, 23239999], [23263000, 23356999], [23394000, 24431999], [24498000, 24899999], [24925000, 25448999], [25493000, 25508999], [25634000, 25693999], [25759000, 26300999], [26361000, 27959999], [28007000, 28277999], [28743000, 28940999], [29041000, 29095999], [29172000, 29688999], [29731000, 33899999], [33990000, 34074999], [34147000, 37308999], [37355000, 39298999], [39441000, 40588999], [40621000, 43617999], [43627000, 48491999], [48550000, 49998999]]
eu8	1	[[0, 4573999], [4595000, 4793999], [4797000, 5009999], [5018000, 5831999], [5859000, 6682999], [6908000, 10608999], [10640000, 10784999], [10797000, 13552999], [13567000, 18478999], [18541000, 20697999], [20721000, 23330999], [23394000, 24496999], [24558000, 25693999], [25759000, 26300999], [26361000, 27292999], [27303000, 28132999], [28190000, 28444999], [28502000, 28522999], [28589000, 28892999], [28969000, 29151999], [29172000, 33909999], [33990000, 34074999], [34147000, 34309999], [34380000, 34727999], [34752000, 39188999], [39201000, 40770999], [41060000, 41204999], [41287000, 43766999], [43801000, 47210999], [47296000, 49589999], [49599000, 49998999]]
eu9	0	[[0, 1920999], [2072000, 4566999], [4595000, 4793999], [4797000, 5792999], [5802000, 6682999], [6754000, 10784999], [10797000, 10893999], [10917000, 11844999], [11904000, 14408999], [14411000, 20588999], [20721000, 23330999], [23394000, 25667999], [25965000, 27292999], [27385000, 28132999], [28191000, 28379999], [28493000, 28999999], [29016000, 33673999], [33693000, 34423999], [34460000, 35489999], [35498000, 38744999], [38761000, 38992999], [39056000, 39305999], [39330000, 39465999], [39483000, 41353999], [41450000, 43766999], [43801000, 45254999], [45337000, 46108999], [46162000, 46274999], [46372000, 47595999], [47653000, 49998999]]
eu9	1	[[0, 1926999], [2072000, 6101999], [6113000, 9921999], [9956000, 10155999], [10162000, 10194999], [10428000, 10784999], [10797000, 10893999], [10917000, 11872999], [11894000, 13561999], [13619000, 22122999], [22144000, 23373999], [23394000, 24085999], [24129000, 25610999], [25680000, 26885999], [26938000, 28257999], [28328000, 28360999], [28539000, 30557999], [30591000, 32289999], [32340000, 34074999], [34147000, 34290999], [34392000, 35630999], [35710000, 37056999], [37128000, 39225999], [39294000, 40163999], [40189000, 40355999], [40493000, 40770999], [41060000, 41204999], [41220000, 41411999], [41450000, 44036999], [44123000, 48450999], [48459000, 48967999], [48986000, 49998999]]
